Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Andy Nagy,NBA,14,177.1,48.6,40.7,217.4,-0.3,4.2,1.8,-8.4,0.571,87.8,24.1,20.6,109.4,0.429,89.3,24.5,20.1,107.9,0.143,-1.5,-0.4,0.6,1.5,-0.004,-1.3,-0.5,0.7,-0.4
Brett Nansel,NBA,10,175.1,45.5,37.3,226.7,-2.3,1.1,-1.6,0.9,0.7,84.7,21.5,18.9,114.2,0.3,90.4,24,18.4,112.5,0.4,-5.7,-2.5,0.5,1.7,0.253,-5.5,-2.6,0.6,-0.2
Pat O'Connell,NBA,3,176.7,46,44,231.7,-0.7,1.6,5.1,5.9,1,88,22.3,21.7,120.7,0,88.7,23.7,22.3,111,1,-0.7,-1.3,-0.7,9.7,0.853,-0.5,-1.4,-0.6,7.8
J.T. Orr,NBA,15,178.3,41.3,36.8,220.8,0.9,-3.1,-2.1,-5,0.733,88.1,21.2,17.4,111.5,0.267,90.2,20.1,19.4,109.3,0.467,-2.1,1.1,-2,2.1,0.32,-1.9,1,-1.9,0.2
Gediminas Petraitis,NBA,15,176.2,43.7,39.3,228,-1.2,-0.7,0.4,2.2,0.933,88.2,22.7,18.9,120.8,0.067,88,20.9,20.3,107.2,0.867,0.2,1.8,-1.4,13.6,0.72,0.4,1.7,-1.3,11.7
J.D. Ralls,NBA,8,186.6,43.1,38,238.6,9.2,-1.3,-0.9,12.8,0.375,89.3,22.8,18.5,112.4,0.625,97.4,20.4,19.5,126.3,-0.25,-8.1,2.4,-1,-13.9,-0.397,-7.9,2.3,-0.9,-15.8
Phenizee Ransom,NBA,13,174.8,42.5,38.4,224.1,-2.6,-1.9,-0.5,-1.7,0.385,86.3,21.1,18.8,109.8,0.615,88.5,21.4,19.5,114.2,-0.231,-2.2,-0.3,-0.7,-4.4,-0.378,-2,-0.4,-0.6,-6.3
Jenna Reneau,NBA,3,183.7,39.7,35,231,6.3,-4.7,-3.9,5.2,0.667,96.3,17.7,17.7,114.3,0.333,87.3,22,17.3,116.7,0.333,9,-4.3,0.3,-2.3,0.186,9.2,-4.4,0.4,-4.2
Derek Richardson,NBA,7,174.1,44.6,38.7,227.7,-3.3,0.2,-0.2,1.9,0.571,86.4,22.1,19.1,111.7,0.429,87.7,22.4,19.6,116,0.143,-1.3,-0.3,-0.4,-4.3,-0.004,-1.1,-0.4,-0.3,-6.2
Tyler Ricks,NBA,7,176.7,44.7,38.4,217.7,-0.7,0.3,-0.5,-8.1,0.286,87.4,23,19.1,108.1,0.714,89.3,21.7,19.3,109.6,-0.429,-1.9,1.3,-0.1,-1.4,-0.576,-1.7,1.2,0,-3.3
