Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
25-Oct-24,NOP,105,POR,103,W,6.5,L,219.5,U
23-Oct-24,CHI,111,NOP,123,W,-5,W,225.5,O
29-Nov-24,NOP,109,MEM,120,L,-11.5,W,232,U
27-Nov-24,TOR,119,NOP,93,L,-1,L,221.5,U
25-Nov-24,NOP,110,IND,114,L,-7.5,W,227,U
22-Nov-24,GS,112,NOP,108,L,10.5,W,221.5,U
20-Nov-24,NOP,100,CLE,128,L,-14.5,L,217.5,O
19-Nov-24,NOP,91,DAL,132,L,-13,L,222.5,O
16-Nov-24,LAL,104,NOP,99,L,8,W,220.5,U
15-Nov-24,DEN,94,NOP,101,W,2,W,217.5,U
13-Nov-24,NOP,88,OKC,106,L,-14.5,L,224.5,U
11-Nov-24,BKN,107,NOP,105,L,1.5,L,209.5,O
6-Nov-24,CLE,131,NOP,122,L,6.5,L,225,O
4-Nov-24,POR,118,NOP,100,L,-1,L,218,P
3-Nov-24,ATL,126,NOP,111,L,1.5,L,225,O
1-Nov-24,IND,118,NOP,125,W,4.5,W,232,O
29-Nov-24,NY,99,CHR,98,W,12.5,L,220,U
27-Nov-24,NY,114,DAL,129,L,4.5,L,232,O
25-Nov-24,NY,145,DEN,118,W,-2,W,233.5,O
23-Nov-24,NY,106,UTA,121,L,8.5,L,233.5,U
20-Nov-24,NY,138,PHO,122,W,4.5,W,227,O
18-Nov-24,WAS,106,NY,134,W,-14.5,W,233,O
17-Nov-24,BKN,104,NY,114,W,-10,P,221,U
15-Nov-24,BKN,122,NY,124,W,-8.5,L,214.5,O
13-Nov-24,CHI,124,NY,123,L,-8.5,L,232.5,O
12-Nov-24,NY,111,PHI,99,W,3.5,W,212.5,U
10-Nov-24,NY,121,IND,132,L,3,L,229.5,O
6-Nov-24,NY,116,ATL,121,L,7,L,227,O
4-Nov-24,NY,97,HOU,109,L,2,L,217.5,U
1-Nov-24,NY,128,DET,98,W,6.5,W,218.5,O
30-Oct-24,NY,116,MIA,107,W,1.5,W,214.5,O
28-Oct-24,CLE,110,NY,104,L,-3,L,222.5,U
25-Oct-24,IND,98,NY,123,W,-4.5,W,229,U
22-Oct-24,NY,109,BOS,132,L,-6,L,221.5,O
30-Oct-24,SAN,93,OKC,105,W,-12.5,L,220.5,U
27-Oct-24,ATL,104,OKC,128,W,-10.5,W,230.5,O
26-Oct-24,OKC,114,CHI,95,W,9.5,W,231.5,U
24-Oct-24,OKC,102,DEN,87,W,-2,W,228.5,U
29-Nov-24,OKC,101,LAL,93,W,3,W,229.5,U
27-Nov-24,OKC,105,GS,101,W,4.5,L,224.5,U
25-Nov-24,OKC,130,SAC,109,W,3.5,W,225,O
20-Nov-24,POR,99,OKC,109,W,-12.5,L,222.5,U
19-Nov-24,OKC,104,SAN,110,L,9.5,L,222.5,U
17-Nov-24,DAL,121,OKC,119,L,-7.5,L,226,O
15-Nov-24,PHO,83,OKC,99,W,-7.5,W,228,U
13-Nov-24,NOP,88,OKC,106,W,-14.5,W,224.5,U
11-Nov-24,LAC,128,OKC,134,W,-6.5,L,218.5,O
10-Nov-24,GS,127,OKC,116,L,-6.5,L,227.5,O
6-Nov-24,OKC,122,DEN,124,L,7,L,224.5,O
4-Nov-24,ORL,86,OKC,102,W,-12.5,W,217.5,U
2-Nov-24,OKC,105,LAC,92,W,5.5,W,220.5,U
1-Nov-24,OKC,137,POR,114,W,11.5,W,220.5,O
29-Nov-24,ORL,123,BKN,100,W,7.5,W,207.5,O
27-Nov-24,CHI,119,ORL,133,W,-9.5,W,224.5,O
25-Nov-24,ORL,95,CHR,84,W,4.5,W,212.5,U
23-Nov-24,DET,100,ORL,111,W,-9.5,W,206.5,O
21-Nov-24,ORL,119,LAL,118,W,-5.5,W,216.5,O
20-Nov-24,ORL,93,LAC,104,L,3.5,L,205,U
18-Nov-24,ORL,109,PHO,99,W,4.5,W,211.5,U
15-Nov-24,PHI,86,ORL,98,W,-2.5,W,208.5,U
13-Nov-24,IND,90,ORL,94,W,-1,W,224.5,U
12-Nov-24,CHR,89,ORL,114,W,-9,W,212.5,U
10-Nov-24,WAS,94,ORL,121,W,-11.5,W,222.5,U
6-Nov-24,ORL,111,IND,118,L,-5.5,L,226.5,O
4-Nov-24,ORL,86,OKC,102,L,-12.5,L,217.5,U
3-Nov-24,ORL,85,DAL,108,L,-6.5,L,220,U
1-Nov-24,ORL,109,CLE,120,L,-7,L,216.5,O
30-Oct-24,ORL,99,CHI,102,L,5.5,L,227.5,U
28-Oct-24,IND,115,ORL,119,W,-5.5,L,225.5,O
26-Oct-24,ORL,111,MEM,124,L,-1,L,221.5,O
25-Oct-24,BKN,101,ORL,116,W,-11.5,W,214.5,O
23-Oct-24,ORL,116,MIA,97,W,-2,W,208,O
30-Oct-24,DET,105,PHI,95,L,-4,L,219.5,U
27-Oct-24,PHI,118,IND,114,W,-8.5,W,228.5,O
25-Oct-24,PHI,107,TOR,115,L,5,L,220,O
23-Oct-24,MIL,124,PHI,109,L,4,L,222.5,O
